Stage,Date & Time (US EDT/UTC-4),Date EDT,Time EDT,Date & Time (Vietnam),Date VN,Time VN,Team 1,Team 2,Match #,Location,Ours?
Round of 32,"Thursday, July 2, at 7:00 PM",July 2,19:00,"Friday, 3 July 2026 at 06:00:00",July 3,6:00,2K,2L,83,"BMO Field, Toronto",Y
Round of 32,"Thursday, July 2, at 11:00 PM",July 2,23:00,"Friday, 3 July 2026 at 10:00:00",July 3,10:00,2B,3EFGIJ,85,"BC Place, Vancouver",Y
Round of 32,"Friday, July 3, at 2:00 PM",July 3,14:00,"Saturday, 4 July 2026 at 01:00:00",July 4,1:00,2D,2G,88,"AT&T Stadium, Arlington",Y
Round of 32,"Friday, July 3, at 6:00 PM",July 3,18:00,"Saturday, 4 July 2026 at 05:00:00",July 4,5:00,1J,2H,86,"Hard Rock Stadium, Miami Gardens",Y
Round of 32,"Friday, July 3, at 9:30 PM",July 3,21:30,"Saturday, 4 July 2026 at 08:30:00",July 4,8:30,1K,3DEIJL,87,"Arrowhead Stadium, Kansas City",Y
Round of 16,"Saturday, July 4, at 1:00 PM",July 4,13:00,"Sunday, 5 July 2026 at 00:00:00",July 5,0:00,W73,W75,90,"NRG Stadium, Houston",Y
Round of 16,"Saturday, July 4, at 5:00 PM",July 4,17:00,"Sunday, 5 July 2026 at 04:00:00",July 5,4:00,W74,W77,89,"Lincoln Financial Field, Philadelphia",Y
Round of 16,"Sunday, July 5, at 4:00 PM",July 5,16:00,"Monday, 6 July 2026 at 03:00:00",July 6,3:00,W76,W78,91,"MetLife Stadium, East Rutherford",Y
Round of 16,"Sunday, July 5, at 8:00 PM",July 5,20:00,"Monday, 6 July 2026 at 07:00:00",July 6,7:00,W79,W80,92,"Estadio Azteca, Mexico City",Y
Round of 16,"Monday, July 6, at 3:00 PM",July 6,15:00,"Tuesday, 7 July 2026 at 02:00:00",July 7,2:00,W83,W84,93,"AT&T Stadium, Arlington",Y
Round of 16,"Monday, July 6, at 8:00 PM",July 6,20:00,"Tuesday, 7 July 2026 at 07:00:00",July 7,7:00,W81,W82,94,"Lumen Field, Seattle",Y
