Stage,Date & Time (US EDT/UTC-4),Date,Eastern Daylight Time,Date & Time (Vietnam),Column 1,Column 2,Team 1,Team 2,Match #,Location,Ours?,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Group A,"Thursday, June 18, at 9:00 PM",June 18,21:00,"Friday, 19 June 2026 at 08:00:00",June 19,8:00,Mexico,South Korea,28,"Estadio Akron, Zapopan",,,,,,,,,,,,,,,,,,,
Group D,"Friday, June 19, at 3:00 PM",June 19,15:00,"Saturday, 20 June 2026 at 02:00:00",June 20,2:00,United States,Australia,32,"Lumen Field, Seattle",,,,,,,,,,,,,,,,,,,
Group C,"Friday, June 19, at 6:00 PM",June 19,18:00,"Saturday, 20 June 2026 at 05:00:00",June 20,5:00,Scotland,Morocco,30,"Gillette Stadium, Foxborough",,,,,,,,,,,,,,,,,,,
Group C,"Friday, June 19, at 9:00 PM",June 19,21:00,"Saturday, 20 June 2026 at 07:30:00",June 20,8:00,Brazil,Haiti,29,"Lincoln Financial Field, Philadelphia",,,,,,,,,,,,,,,,,,,
Group D,"Friday, June 19, at 11:59 PM",June 19,23:59,"Saturday, 20 June 2026 at 10:00:00",June 20,10:59,Türkiye,Paraguay,31,"Levi's Stadium, Santa Clara",,,,,,,,,,,,,,,,,,,
Group F,"Saturday, June 20, at 1:00 PM",June 20,13:00,"Sunday, 21 June 2026 at 00:00:00",June 21,0:00,Netherlands,sweden,35,"NRG Stadium, Houston",,,,,,,,,,,,,,,,,,,
Group E,"Saturday, June 20, at 4:00 PM",June 20,16:00,"Sunday, 21 June 2026 at 03:00:00",June 21,3:00,Germany,Ivory Coast,33,"BMO Field, Toronto",Y,,,,,,,,,,,,,,,,,,
Group E,"Saturday, June 20, at 8:00 PM",June 20,20:00,"Sunday, 21 June 2026 at 07:00:00",June 21,7:00,Ecuador,Curacao,34,"Arrowhead Stadium, Kansas City",Y,,,,,,,,,,,,,,,,,,
Group F,"Saturday, June 20, at 11:59 PM",June 20,23:59,"Sunday, 21 June 2026 at 10:59:00",June 21,10:59,Tunisia,Japan,36,"Estadio BBVA, Guadalupe",,,,,,,,,,,,,,,,,,,
Group H,"Sunday, June 21, at 12:00 PM",June 21,12:00,"Sunday, 21 June 2026 at 23:00:00",June 21,23:00,Spain,Saudi Arabia,38,"Mercedes-Benz Stadium, Atlanta",Y,,,,,,,,,,,,,,,,,,
Group G,"Sunday, June 21, at 3:00 PM",June 21,15:00,"Monday, 22 June 2026 at 02:00:00",June 22,2:00,Belgium,Iran,39,"Sofi Stadium, Inglewood",,,,,,,,,,,,,,,,,,,
Group H,"Sunday, June 21, at 6:00 PM",June 21,18:00,"Monday, 22 June 2026 at 05:00:00",June 22,5:00,Uruguay,Cape Verde,37,"Hard Rock Stadium, Miami Gardens",Y,,,,,,,,,,,,,,,,,,
Group G,"Sunday, June 21, at 9:00 PM",June 21,21:00,"Monday, 22 June 2026 at 08:00:00",June 22,8:00,New Zealand,Egypt,40,"BC Place, Vancouver",,,,,,,,,,,,,,,,,,,
Group J,"Monday, June 22, at 1:00 PM",June 22,13:00,"Tuesday, 23 June 2026 at 00:00:00",June 23,0:00,Argentina,Austria,43,"AT&T Stadium, Arlington",,,,,,,,,,,,,,,,,,,
Group I,"Monday, June 22, at 5:00 PM",June 22,17:00,"Tuesday, 23 June 2026 at 04:00:00",June 23,4:00,France,Iraq,42,"Lincoln Financial Field, Philadelphia",,,,,,,,,,,,,,,,,,,
Group I,"Monday, June 22, at 8:00 PM",June 22,20:00,"Tuesday, 23 June 2026 at 07:00:00",June 23,7:00,Norway,Senegal,41,"MetLife Stadium, East Rutherford",,,,,,,,,,,,,,,,,,,
Group J,"Monday, June 22, at 11:00 PM",June 22,23:00,"Tuesday, 23 June 2026 at 10:00:00",June 23,10:00,Jordan,Algeria,44,"Levi's Stadium, Santa Clara",,,,,,,,,,,,,,,,,,,
Group K,"Tuesday, June 23, at 1:00 PM",June 23,13:00,"Wednesday, 24 June 2026 at 00:00:00",June 24,0:00,Portugal,Uzbekistan,47,"NRG Stadium, Houston",Y,,,,,,,,,,,,,,,,,,
Group L,"Tuesday, June 23, at 4:00 PM",June 23,16:00,"Wednesday, 24 June 2026 at 03:00:00",June 24,3:00,England,Ghana,45,"Gillette Stadium, Foxborough",,,,,,,,,,,,,,,,,,,
Group L,"Tuesday, June 23, at 7:00 PM",June 23,19:00,"Wednesday, 24 June 2026 at 06:00:00",June 24,6:00,Panama,Croatia,46,"BMO Field, Toronto",,,,,,,,,,,,,,,,,,,
